FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1458	NA12842	0.0611773	0.0538518	0.0081523	0.00202463	-3.42624e-05	-0.00128792	-0.00968996	0.031047	0.0103333	-0.00842707
13281	NA12347	0.0577083	0.0416399	-0.00689784	-0.0108579	0.00504542	0.0123157	-0.0123766	-0.00159477	-0.00694564	-0.0194023
1345	NA07346	0.058978	0.0494059	0.011733	-0.0144703	0.00239646	-0.0122589	-0.0162682	-0.00369347	-0.00983009	-0.0058922
1451	NA12775	0.0563642	0.0451285	-0.0113814	0.0137186	0.0125515	-0.0116625	-0.0353762	-0.00332858	-0.00823456	-0.0132209
1463	NA12889	0.0576504	0.0488096	0.00491871	0.000267121	-0.0231615	0.0129785	-0.00819128	0.0151318	0.0285215	0.0271869
1330	NA12342	0.0596326	0.0489068	-0.00500781	-0.0111446	0.00826228	-0.0117293	-0.00185505	-0.00137848	0.0286604	0.0135227
1444	NA12748	0.0576802	0.0341127	0.0442165	-0.00777998	-0.00962246	0.013903	0.00942931	0.02174	-0.0188065	-0.0108237
1424	NA11931	0.0565774	0.0380559	-0.000832418	-0.0273858	-0.00634503	-0.0367203	-0.0135908	-0.00658875	0.00728128	0.0127175
1346	NA12045	0.0574679	0.0497777	0.0327529	0.00875305	0.00521539	-0.0476214	0.0337444	-0.0309596	0.0100368	-0.00579642
1444	NA12750	0.05737	0.0468392	0.00800417	0.00857686	0.00288738	-0.0252816	-0.0352159	0.0246312	0.0254569	-0.0152548
1350	NA11831	0.0595995	0.0383923	-0.0192506	-3.02193e-05	-0.017922	0.0050146	-0.0183717	-0.0494762	-0.0210548	0.00671541
1334	NA12146	0.0572395	0.0503322	0.00142014	-0.0118285	-0.0211172	-0.0566262	0.00544778	-0.00450542	-0.00575938	0.0182149
1347	NA11882	0.0578989	0.0354878	-0.0304048	0.00500437	0.00522866	0.000919836	-0.0147162	0.00637928	0.0111749	-0.0224588
1340	NA07056	0.0583183	0.0470029	-0.0207494	0.0187461	0.0286555	-0.0211088	0.0035434	0.00262623	-0.00771102	-0.0126755
1408	NA12154	0.0576434	0.0427187	0.0437331	0.0181395	-0.0106487	-0.0389149	0.0201364	0.00966659	-0.00169701	-0.0288332
1349	NA11839	0.0576428	0.0439149	0.0144476	-0.0202999	0.00970748	-0.0211366	-0.0453485	0.010279	-0.0089145	-0.00671482
1459	NA12875	0.0594248	0.0450979	0.0195821	-0.0128724	0.00961471	-0.0244541	0.0163184	-0.0354192	-0.0124574	0.0076798
1408	NA12156	0.0584633	0.0432118	0.00514712	-0.00524284	0.00846015	-0.0104293	0.0114066	0.00445017	0.010494	-0.00397568
1346	NA12044	0.0589921	0.0547394	-0.0258979	-0.0071698	-0.00435689	-0.0241505	-0.0295187	0.0251999	0.0323768	-0.00395211
1362	NA11992	0.0564581	0.0436748	0.0293656	0.0317247	-0.00890782	-0.0307211	0.00373263	-0.00822411	-0.00554452	-0.00969902
1350	NA11829	0.059264	0.0463124	0.0174517	-0.0200587	-0.0156962	-0.0187706	0.00103842	-0.0246912	0.0122168	0.0209371
1334	NA12239	0.058862	0.0425294	0.0257066	0.00653363	-0.0271341	-0.00872576	-0.00136897	-0.015158	0.0150973	0.00699883
1447	NA12762	0.0593001	0.049398	-0.0238165	0.0203567	-0.00290292	-0.00874777	0.00699485	-0.00833564	-0.00782545	-0.0205343
1358	NA12716	0.0594228	0.0367599	0.00774311	0.0124975	-0.0128935	-0.0289997	-0.0128704	0.0397182	-0.00388699	0.0278134
1459	NA12874	0.0541461	0.0422627	0.00137131	0.00401853	-0.046224	-0.0164177	-0.00859548	-0.0319376	0.0286157	0.0194764
1447	NA12760	0.0559019	0.0502819	0.0116677	-0.00466371	-0.0349623	-0.0168704	-0.00504312	0.05142	0.0272134	0.00817806
1341	NA06985	0.0540659	0.0420281	0.00416322	0.0102091	-0.00779803	-0.0257052	-0.0119552	0.0278655	-0.00817647	-0.00301033
1420	NA12003	0.0572038	0.0334135	0.0250398	-0.00700336	-0.0404993	0.0304619	-0.0283845	-0.0161349	0.0152487	-0.0127987
1340	NA07022	0.0565943	0.0499945	0.00266008	-0.0126648	-0.00909443	-0.00284761	0.00563703	0.0327597	0.00339844	-0.0237871
